
, , , , Credit Rating, , 0.2, , , , , , , , , , , , , , , , 
, , , , Image Rating, , 0.2, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, I.E. versus B-I-I ---------------------------, , , Investor Expectation, , 0.5, , , , , , , , , , , , , , , , 
, , , , Best-In-Industry, , 0.5, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
PAGE 1, Year X Scoreboard ----------------------, , , Rank, , 1, 2, 3, 4, , , , , , , , , , , , , 
, , , , I.E. Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , B-I-I Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , Wghtd Avg Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , Change, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Game-To-Date Scoreboard -------, , , Rank, , 1, 2, 3, 4, , , , , , , , , , , , , 
, , , , I.E. Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , B-I-I Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , Wghtd Avg Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , Bonus Points, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Overall Score, , 100, 100, 100, 100, , , , , , , , , , , , , 
, , , , Change, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
PAGE 2, Scoring, , EPS ---------------------------, , Y11, 0, 0, 0, 0, , , , , , , , , 2.5, , , , 
,   Measures, , , , Y12, 0, 0, 0, 0, , , , , , , , , 3, , , , 
, , , , , Y13, 0, 0, 0, 0, , , , , , , , , 3.5, , , , 
, , , , , Y14, 0, 0, 0, 0, , , , , , , , , 4, , , , 
, , , , , Y15, 0, 0, 0, 0, , , , , , , , , 4.5, , , , 
, , , , , Y16, 0, 0, 0, 0, , , , , , , , , 5.25, , , , 
, , , , , Y17, 0, 0, 0, 0, , , , , , , , , 6, , , , 
, , , , , Y18, 0, 0, 0, 0, , , , , , , , , 7, , , , 
, , , , , Y19, 0, 0, 0, 0, , , , , , , , , 8.5, , , , 
, , , , , Y20, 0, 0, 0, 0, , , , , , , , , 10, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , Wgtd Avg, 2, 2, 2, 2, , , , , , , , , 2, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , GTD Score --------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Cumulative Net Profit, , , 40000, 40000, 40000, 40000, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
, , , ROE ---------------------------, , Y11, 0, 0, 0, 0, , , , , , , , , 0.21, , , , 
, , , , , Y12, 0, 0, 0, 0, , , , , , , , , 0.22, , , , 
, , , , , Y13, 0, 0, 0, 0, , , , , , , , , 0.23, , , , 
, , , , , Y14, 0, 0, 0, 0, , , , , , , , , 0.24, , , , 
, , , , , Y15, 0, 0, 0, 0, , , , , , , , , 0.25, , , , 
, , , , , Y16, 0, 0, 0, 0, , , , , , , , , 0.26, , , , 
, , , , , Y17, 0, 0, 0, 0, , , , , , , , , 0.27, , , , 
, , , , , Y18, 0, 0, 0, 0, , , , , , , , , 0.28, , , , 
, , , , , Y19, 0, 0, 0, 0, , , , , , , , , 0.29, , , , 
, , , , , Y20, 0, 0, 0, 0, , , , , , , , , 0.3, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , Wgtd Avg, 0.2, 0.2, 0.2, 0.2, , , , , , , , , 0.2, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , GTD Score --------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Cumulative Average Equity, , , 200000, 200000, 200000, 200000, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
, , , Stock Price ---------------, , Y11, 0, 0, 0, 0, , , , , , , , , 40, , , , 
, , , , , Y12, 0, 0, 0, 0, , , , , , , , , 50, , , , 
, , , , , Y13, 0, 0, 0, 0, , , , , , , , , 65, , , , 
, , , , , Y14, 0, 0, 0, 0, , , , , , , , , 80, , , , 
, , , , , Y15, 0, 0, 0, 0, , , , , , , , , 100, , , , 
, , , , , Y16, 0, 0, 0, 0, , , , , , , , , 125, , , , 
, , , , , Y17, 0, 0, 0, 0, , , , , , , , , 150, , , , 
, , , , , Y18, 0, 0, 0, 0, , , , , , , , , 180, , , , 
, , , , , Y19, 0, 0, 0, 0, , , , , , , , , 215, , , , 
, , , , , Y20, 0, 0, 0, 0, , , , , , , , , 250, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , GTD Score --------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
PAGE 3, Scoring, , Credit Rating -----------, , Y11, 0, 0, 0, 0, , , , , , , , , 6, , , , 
,   Measures, , , , Y12, 0, 0, 0, 0, , , , , , , , , 6, , , , 
,   (concluded), , , , Y13, 0, 0, 0, 0, , , , , , , , , 6, , , , 
, , , , , Y14, 0, 0, 0, 0, , , , , , , , , 7, , , , 
, , , , , Y15, 0, 0, 0, 0, , , , , , , , , 7, , , , 
, , , , , Y16, 0, 0, 0, 0, , , , , , , , , 7, , , , 
, , , , , Y17, 0, 0, 0, 0, , , , , , , , , 8, , , , 
, , , , , Y18, 0, 0, 0, 0, , , , , , , , , 8, , , , 
, , , , , Y19, 0, 0, 0, 0, , , , , , , , , 8, , , , 
, , , , , Y20, 0, 0, 0, 0, , , , , , , , , 8, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , GTD Score --------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
, , , Image Rating ----------, , Y11, 0, 0, 0, 0, , , , , , , , , 70, , , , 
, , , , , Y12, 0, 0, 0, 0, , , , , , , , , 72, , , , 
, , , , , Y13, 0, 0, 0, 0, , , , , , , , , 72, , , , 
, , , , , Y14, 0, 0, 0, 0, , , , , , , , , 75, , , , 
, , , , , Y15, 0, 0, 0, 0, , , , , , , , , 75, , , , 
, , , , , Y16, 0, 0, 0, 0, , , , , , , , , 77, , , , 
, , , , , Y17, 0, 0, 0, 0, , , , , , , , , 77, , , , 
, , , , , Y18, 0, 0, 0, 0, , , , , , , , , 80, , , , 
, , , , , Y19, 0, 0, 0, 0, , , , , , , , , 80, , , , 
, , , , , Y20, 0, 0, 0, 0, , , , , , , , , 80, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , 3-Yr Avg, 70, 70, 70, 70, , , , , , , , , 70, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , GTD Score --------------------, , I.E., 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , B-I-I, 20, 20, 20, 20, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, CSRC----------, Industry ----------------------, , $000s -------, High, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
,   Data,   Expenditures, , , Average, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Low, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , $/Unit --------, High, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Average, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Low, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , Image Rating Points --------------------, , , High, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, ,   Generated, , , Average, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Low, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , CSRC Award --------------------------------, , , Winner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , 2nd Place, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
PAGE 3b, Bull's Eye Award ---------, , Revenues-------------------, , Forecast, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, , , , , 
, , ,   ($000s), , Actual, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, 432646, , , , , 
, , , , , % Var, 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , EPS -----------------------------, , Forecast, 2, 2, 2, 2, , , , , , , , , , , , , 
, , ,   ($/share), , Actual, 2, 2, 2, 2, , , , , , , , , , , , , 
, , , , , % Var, 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Image Rating --------------, , Forecast, 70, 70, 70, 70, , , , , , , , , , , , , 
, , , , , Actual, 70, 70, 70, 70, , , , , , , , , , , , , 
, , , , , Point Var, 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Current-Year Award Winner, , , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , Cumulative Awards, , , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , Trends ------, Industry Variance -------, , High, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Average, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , Low, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Company Variances --, , A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , G, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , H, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , I, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , J, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , K, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , L, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Leap Frog Award --------------------------, , , Year 11 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y11, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 12 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y12, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 13 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y13, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 14 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y14, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 15 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y15, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 16 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y16, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 17 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y17, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 18 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y18, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 19 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , ,   Award Winner, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , ∆ from Y19, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , Year 20 Score, , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Cumulative Awards, , , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , Standard, Superior, , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
PAGE 4, Materials Prices, , Base Prices for Materials, , , 6, 12, , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Price ---------, Materials Usage, , 0, 0, , , , , , , , , , , , , , , 
, , ,   Adjust, Facilities Utilization, , 0, 0, , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Materials Prices in Current Year, , , 6, 12, , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Note, , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , N.A., E-A, A-P, L.A., Total, , Notes, , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Footwear, , Superior Materials Usage, , , 0.305, 0, 0.514, 0, 0.412, , , , , , , , , , , , 
,   Production, , Utilization of Prod Capability, , , 1.116, 0, 1.173, 0, 1.145, , , , , , , , , , , , 
,   and Sales, , , , , , , , , , , , , , , , , , , , , 
, , Branded, Pairs Available for Sale, , , 9684, 8240, 6180, 6180, 30284, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Footwear Demand -----, , Forecast, 9400, 8000, 6000, 6000, 29400, , , , , , , , , , , , 
, , , , , Actual, 9400, 8000, 6000, 6000, 29400, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Branded Pairs Sold, , , 9400, 8000, 6000, 6000, 29400, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , No. of Companies out of stock, , , 0, 0, 0, 0, , , , , , , , , , , , , 
, , , Unfilled Orders, , , 0, 0, 0, 0, 0, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , P-Label, Demand ----------------------, , Forecast, 800, 800, 800, 800, 3200, , , , , , , , , , , , 
, , , , , Actual, 800, 800, 800, 800, 3200, , , , , , , , , , , , 
, , , Pairs Offered, , , 800, 800, 800, 800, 3200, , , , , , , , , , , , 
, , , Pairs Sold, , , 800, 800, 800, 800, 3200, , , , , , , , , , , , 
, , , , , , N.A., E-A, A-P, L.A., Total, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Demand, , Branded Demand --------, , Year +1, 9964, 8480, 6600, 6600, 31644, , Global demand for Y11-Y15 is expected to grow by 7%-9% annually, slowing to 5%-7% during Y16-Y20.  The projected growth rates are not the same for all regions, as shown in the table on page 5 of the Player's Guide.  Actual demand growth may vary above/below the forecast due to stronger/weaker competitive efforts on the part of rival companies., , , , , , , , , , 
,   Forecast, , , , Year +2, 10560, 8988, 7260, 7260, 34068, , , , , , , , , , , , 
, , , , , Year +3, 11192, 9528, 7988, 7988, 36696, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , P-Label Demand --------, , Year +1, 888, 888, 904, 904, 3584, , , , , , , , , , , , 
, , , , , Year +2, 984, 984, 1020, 1020, 4008, , , , , , , , , , , , 
, , , , , Year +3, 1092, 1092, 1152, 1152, 4488, , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Supply / Demand, , Potential ----, Beginning Inventory, , 884, , , , , , Currently, there is a good balance between supply and demand, given available production capability.  However, growth-minded companies should consider adding facility space and/or production equipment., , , , , , , , , , 
,   Analysis, ,   Supply, Potential Production, , 38400, , , , , , , , , , , , , , , , 
, , , ,   Potential Supply, , 39284, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Potential ----, Branded Demand For, , 31644, , , , , , , , , , , , , , , , 
, , ,   Demand, Private-Label Forcast, , 3584, , , , , , , , , , , , , , , , 
, , , ,   Potential Demand, , 35228, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , A, B, C, D, E, F, G, H, I, J, K, L, Total, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Facility, , Current Facility ------------, , N.A., 5000, 5000, 5000, 5000, , , , , , , , , 20000, , , , 
,   Space, ,   Space, , E-A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , A-P, 6000, 6000, 6000, 6000, , , , , , , , , 24000, , , , 
, , , , , L.A., 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , New Space ----------------, , N.A., 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , ,   Added, , E-A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , A-P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , L.A., 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Total Space Next Year, , , 11000, 11000, 11000, 11000, , , , , , , , , 44000, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Production, , Current -----------------------, , N.A., 4000, 4000, 4000, 4000, , , , , , , , , 16000, , , , 
,   Equipment, ,   Production, , E-A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , ,   Equipment, , A-P, 4000, 4000, 4000, 4000, , , , , , , , , 16000, , , , 
, , , , , L.A., 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , Total, 8000, 8000, 8000, 8000, , , , , , , , , 32000, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , A, B, C, D, E, F, G, H, I, J, K, L, Avg, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
PAGE 5, Income, , Net Rev ------, Wholesale, , 314731, 314731, 314731, 314731, , , , , , , , , 314731, , , , 
,   Statement, , , Internet, , 90315, 90315, 90315, 90315, , , , , , , , , 90315, , , , 
,   Data, , , Private-Label, , 27600, 27600, 27600, 27600, , , , , , , , , 27600, , , , 
, , , ,   Total, , 432646, 432646, 432646, 432646, , , , , , , , , 432646, , , , 
, , , Cost of Pairs Sold, , , 228053, 228053, 228053, 228053, , , , , , , , , 228053, , , , 
, , , Whse Expenses, , , 41330, 41330, 41330, 41330, , , , , , , , , 41330, , , , 
, , , Marketing Expenses, , , 80944, 80944, 80944, 80944, , , , , , , , , 80944, , , , 
, , , Admin Expenses, , , 15002, 15002, 15002, 15002, , , , , , , , , 15002, , , , 
